Provider Number,Provider Name,Address,City,Phone_Number,ZipCode,Service Area,Supervisory District,Programs/Services,Provider Classification,Age Group Served,Language/Cultures,Operation,Operation Hours,Walk-In-Hours
5000,ANTELOPE VALLEY HOSPITAL,1600 W AVENUE J,LANCASTER,(661) 949-5411; (661) 949-5000,93534,1,5,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,"ENGLISH, SPANISH",DMH,24 HOURS,24 HOURS
7478,EMERGENCY OUTREACH BUREAU/CRISIS HOMELESS - AV,2323-A EAST PALMDALE BLVD.,PALMDALE,(661) 223-3838,93550,1,5,"COMMUNITY OUTREACH, CRISIS INTERVENTION, CRISIS HOMELESS, MENTAL HEALTH SERVICES* (MHS), PROVIDER LINKAGE AND REFERRAL, PSYCHIATRIC MOBILE RESPONSE",CRISIS SERVICES,ADULT/CHILD/OLDER ADULT/TAY,"ENGLISH, SPANISH, TAGALOG",DMH,MON - FRI 8:00 AM - 5:00 PM,FIELD RESPONSE ONLY
7195,CHALLENGER MENTAL HEALTH UNIT,5300 WEST AVE. I,LANCASTER,(661) 297-1691,93536,1,5,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",JUVENILE JUSTICE,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - SUN 8:00 AM - 8:00 PM,BY REFERRAL ONLY
7756,AV WELLNESS & ENRICHMENT CENTER,251-H E. AVE. K-6,LANCASTER,(661) 974-8400; (661) 720-2186,93535,1,5,"CRISIS INTERVENTION, DAY TREATMENT, INDIVIDUAL PEER SUPPORT SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), OUTREACH AND ENGAGEMENT, PEER SUPPORT GROUPS, THERAPY/REHABILITATION GROUPS, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",DMH,MON - FRI  8:00 AM - 5:00 PM,MON - FRI  8:00 AM - 5:00 PM
1904,ANTELOPE VALLEY MHC,349 E. AVE. K-6 STE. A,LANCASTER,(661) 723-4260,93535,1,5,"CALWORKS, COMMUNITY OUTREACH, CRISIS INTERVENTION, GROUP THERAPY, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"CANTONESE, ENGLISH, SPANISH",DMH,MON - FRI  8:00 AM - 5:00 PM,MON - FRI  8:00 AM - 5:00 PM
7386,PALMDALE MENTAL HEALTH CENTER,1529 EAST PALMDALE BLVD. STE. 150,PALMDALE,(661) 575-1800,93550,1,5,"CALWORKS, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHIATRIC EVALUATION AND ASSESSMENT, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, SPANISH, TAGALOG",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7610,SPECIALIZED FOSTER CARE-PALMDALE,39959 SIERRA HIGHWAY STE. 150,PALMDALE,(661) 223-5413,93550,1,5,"0-5 MENTAL HEALTH SERVICES, MENTAL HEALTH SERVICES* (MHS), PROVIDER LINKAGE, PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - FRI  8:00 AM - 5:00 PM,BY REFERRAL ONLY
7620,SPECIALIZED FOSTER CARE-LANCASTER,300 EAST AVE. K-6,LANCASTER,(661) 471-1164,93535,1,5,"0-5 MENTAL HEALTH SERVICES,  MENTAL HEALTH SERVICES* (MHS), PROVIDER LINKAGE, PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7716,ANTELOPE VALLEY KIDZ CONNECTION,2323 A PALMDALE BLVD.,PALMDALE,(661) 223-3800,93550,1,5,"0-5 MENTAL HEALTH SERVICES, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7807,DMH/DHS COLLABORATION,"335 E AVENUE I, ROOM 2007, 2009",LANCASTER,(661) 471-4000,93535,1,5,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT, TELE-MEDICINE FOR MEDICATION SUPPORT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",DMH,MON - FRI  8:00AM - 5:00 PM,BY REFERRAL ONLY
7352,PALMDALE DISCOVERY CENTER,1609 EAST PALMDALE STE. G,PALMDALE,(661) 947-1595,93550,1,5,"COMMUNITY OUTREACH, MENTAL HEALTH SERVICES* (MHS), PEER SUPPORT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 4:00 PM,CONTACT PROVIDER
7204,MHA ANTELOPE VALLEY,506 WEST JACKMAN ST.,LANCASTER,(661) 726-2850,93434,1,5,"COMMUNITY OUTREACH, CO-OCCURRING DISORDERS, HOMELESS AND VETERANS SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY/ADULT,"ENGLISH, HOMELESS, SPANISH, TAGALOG, VIETNAMESE, VETERANS",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7225,CHILD AND FAM GUIDANCE CENTER-PALMDALE,"40005 10th ST WEST, STE. 106",PALMDALE,(661) 265-8627,93551,1,5,"CRISIS INTERVENTION, FAMILY PRESERVATION, FIELD CAPABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES, WRAPAROUND",OUTPATIENT,CHILD/TAY,"AMERICAN SIGN, ENGLISH, FARSI, FRENCH, HEBREW, HINDI, OTHER CHINESE, PORTUGUESE, SPANISH",NGA,MON - THUR 8:30 AM - 8:00 PM; FRI - SAT 8:30 AM - 5:00 PM,CONTACT PROVIDER
7301,CHILD BUREAU OF SOUTHERN CA-PALMDALE,1529 EAST PALMDALE BLVD. STE. 210,PALMDALE,(661) 272-9996,93550,1,5,"0-5 MENTAL HEALTH SERVICES, ADOPTION, COMMUNITY OUTREACH, CRISIS INTERVENTION,  MEDICATION SUPPORT SERVICES, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, HEBREW, SPANISH, TAGALOG",NGA,MON - FRI 8:30 AM - 7:00 PM,CONTACT PROVIDER
